department,position,scale_point,annual_rat(€)

MANAGEMENT_LEVEL,PRESIDENT,,"240716"
MANAGEMENT_LEVEL,VICE_PRESIDENT,,"184171"


ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),1,"140068"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),2,"148055"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),3,"156042"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),4,"164028"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),5,"172016"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),6,"177078"

ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),1,"101447"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),2,"108276"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),3,"115107"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),4,"121935"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),5,"128770"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),6,"135598"

ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),1,"87548"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),2,"91018"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),3,"94492"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),4,"97988"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),5,"101461"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),6,"104948"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),7,"108430"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),8,"111916"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),9,"115395"

ACADEMIC,ASSOCIATE_PROFESSOR_B(FORMERLY_LECTURER),1,"62069"
ACADEMIC,ASSOCIATE_PROFESSOR_B(FORMERLY_LECTURER),2,"73093"
ACADEMIC,ASSOCIATE_PROFESSOR_B(FORMERLY_LECTURER),3,"77006"
ACADEMIC,ASSOCIATE_PROFESSOR_B(FORMERLY_LECTURER),4,"79703"
